postid,published_name/title,publisher,page/group/user,description,category,post_type,published_time,no_of_likes,no_of_dislikes,no_of_comments,no_of_shares,no_of_views
136781766,ඉසිවර හෙළ ඔසු,5eece14ffc13ae660900008b,Page,රස හයෙන් සපිරි ගැස්ට්‍රයිටිස් (අම්ල පිත්තය) සදහා සුව දෙන උදෑසන ආහාරය,"gastritis, breakfirst",text/photo,1/3/2021 13:45,80,0,2,743,0
43094523,ඉසිවර හෙළ ඔසු,5eece14efc13ae660900003c,Page,ගොටුකොළ වල අත් බෙහෙත්,"gotukola, home-remedies",text/photo,1/11/2021 13:46,75,0,0,235,0
42428071,ඉසිවර හෙළ ඔසු,5eece14efc13ae6609000025,Page,මී පැණි අනුභවයෙන් ශරීරයේ සිදුවන දේවල් 10ක්,"honey, body, ten facts",text/photo,1/18/2021 14:22,75,0,3,587,0
76472880,ඉසිවර හෙළ ඔසු,5eece14ffc13ae66090001d4,Page,විෂ බීජ නසන කොහොඹ,"germs, khomba",text/photo,1/25/2021 16:15,67,0,0,136,0
202721843,ඉසිවර හෙළ ඔසු,5eece14ffc13ae66090000ac,Page,පත්තෑ විෂට අත් බෙහෙත්,"centipede, venom,home-remedies",text/photo,2/1/2021 16:50,60,0,2,604,0
104702447,ඉසිවර හෙළ ඔසු,5eece14ffc13ae66090001bd,Page,පිරිසිදු මී පැණි හඳුනාගැනීමට ක්‍රම 7ක්,"clean, honey, identitfaction, seven methods",text/photo,2/8/2021 13:12,107,0,0,1000,0
387648862,ඉසිවර හෙළ ඔසු,5eece14ffc13ae660900012c,Page,කොලෙස්ටරෝල් සුවයට කරපිංචා කැඳ,"cholesterol, curry tree, gruel",text/photo,2/15/2021 12:22,95,0,1,561,0
957888426,ඉසිවර හෙළ ඔසු,5eece14ffc13ae660900014f,Page,ආහාර අරැචියට අත් බෙහෙත්,"food disorder, home-remedies",text/photo,2/22/2021 13:54,54,0,1,150,0
217310220,ඉසිවර හෙළ ඔසු,5eece14ffc13ae66090000cd,Page,ආඝාතය මූලික අවධියේදීම හඳුනාගන්නේ කෙසේද?,"stroke, primary stage, identification",text/photo,3/3/2021 21:05,46,0,0,142,0
200203914,ඉසිවර හෙළ ඔසු,5eece14ffc13ae66090000f0,Page,අධි රැධිර පීඩනය සුවයට ඔළිඳ කොළ කැඳ,"high blood pressure, olinda leaves, gruel",text/photo,3/8/2021 13:27,68,0,0,324,0
